"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"pick_ego"
"12/12/2018 13:30:08:331 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","seed-wall","seed-set","[step]","mean [pick-time] of robots","min [pick-time] of robots","max [pick-time] of robots","mean [participation] of robots","min [participation] of robots","max [participation] of robots"
"61","4","44","true","1","null","egoiste","4","3","4","true","50","1","1500","430.25","410","458","10.5","9","13"
"62","4","44","true","1","null","egoiste","4","3","4","true","50","2","1500","639.75","628","660","10.5","9","12"
"63","4","44","true","1","null","egoiste","4","3","4","true","50","3","1500","402.25","367","424","10.75","5","14"
"64","4","44","true","1","null","egoiste","4","3","4","true","50","4","1500","387.75","370","409","11","8","12"
"65","4","44","true","1","null","egoiste","4","3","4","true","50","5","1500","470.75","437","503","11","9","17"
"66","4","44","true","1","null","egoiste","4","3","4","true","50","6","1500","446.75","413","476","10.5","8","14"
"67","4","44","true","1","null","egoiste","4","3","4","true","50","7","1500","398.25","379","423","10.25","8","15"
"68","4","44","true","1","null","egoiste","4","3","4","true","50","8","1500","358.5","347","368","10.5","9","12"
"70","4","44","true","1","null","egoiste","4","3","4","true","50","10","1500","394.5","385","408","10.75","9","13"
"69","4","44","true","1","null","egoiste","4","3","4","true","50","9","1500","545.25","519","570","11","8","15"
"72","4","48","true","1","null","egoiste","4","3","4","true","50","2","1500","459","428","484","11.75","7","16"
"71","4","48","true","1","null","egoiste","4","3","4","true","50","1","1500","529.75","520","545","11.75","11","13"
"74","4","48","true","1","null","egoiste","4","3","4","true","50","4","1500","360.75","321","397","12","7","20"
"73","4","48","true","1","null","egoiste","4","3","4","true","50","3","1500","440.5","417","457","11","8","17"
"75","4","48","true","1","null","egoiste","4","3","4","true","50","5","1500","434.5","415","453","11.5","10","14"
"76","4","48","true","1","null","egoiste","4","3","4","true","50","6","1500","421.75","415","434","11.5","10","12"
"78","4","48","true","1","null","egoiste","4","3","4","true","50","8","1500","446.25","433","465","11.25","9","13"
"77","4","48","true","1","null","egoiste","4","3","4","true","50","7","1500","496.5","472","532","11.25","8","14"
"79","4","48","true","1","null","egoiste","4","3","4","true","50","9","1500","477.25","451","500","12","10","14"
"80","4","48","true","1","null","egoiste","4","3","4","true","50","10","1500","468","456","483","11.5","9","13"
"81","4","52","true","1","null","egoiste","4","3","4","true","50","1","1500","531","513","550","12.75","10","16"
"82","4","52","true","1","null","egoiste","4","3","4","true","50","2","1500","531","499","567","12.25","9","14"
"84","4","52","true","1","null","egoiste","4","3","4","true","50","4","1500","456.75","452","465","12.75","9","17"
"83","4","52","true","1","null","egoiste","4","3","4","true","50","3","1500","480.5","474","491","12.75","10","16"
"85","4","52","true","1","null","egoiste","4","3","4","true","50","5","1500","480.5","462","504","12.75","8","22"
"86","4","52","true","1","null","egoiste","4","3","4","true","50","6","1500","451.5","435","469","12.25","11","13"
"87","4","52","true","1","null","egoiste","4","3","4","true","50","7","1500","502.75","473","520","12.25","10","14"
"88","4","52","true","1","null","egoiste","4","3","4","true","50","8","1500","631","625","641","12.25","10","16"
"90","4","52","true","1","null","egoiste","4","3","4","true","50","10","1500","458.25","429","488","12.5","10","14"
"89","4","52","true","1","null","egoiste","4","3","4","true","50","9","1500","531.5","509","555","13","10","18"
"91","4","56","true","1","null","egoiste","4","3","4","true","50","1","1500","547.75","527","560","13.5","9","18"
"92","4","56","true","1","null","egoiste","4","3","4","true","50","2","1500","551","539","583","13.5","10","16"
"93","4","56","true","1","null","egoiste","4","3","4","true","50","3","1500","508","481","520","13.25","10","16"
"94","4","56","true","1","null","egoiste","4","3","4","true","50","4","1500","494.75","476","505","14","11","17"
"95","4","56","true","1","null","egoiste","4","3","4","true","50","5","1500","416","396","435","13.5","10","17"
"96","4","56","true","1","null","egoiste","4","3","4","true","50","6","1500","416.75","404","437","12.75","12","14"
"98","4","56","true","1","null","egoiste","4","3","4","true","50","8","1500","525.5","492","569","13.25","11","16"
"97","4","56","true","1","null","egoiste","4","3","4","true","50","7","1500","583","561","617","13","12","15"
"99","4","56","true","1","null","egoiste","4","3","4","true","50","9","1500","512","494","545","13.75","13","14"
"100","4","56","true","1","null","egoiste","4","3","4","true","50","10","1500","605.75","573","638","12.75","10","16"
"101","4","60","true","1","null","egoiste","4","3","4","true","50","1","1500","495.75","475","509","14","14","14"
"102","4","60","true","1","null","egoiste","4","3","4","true","50","2","1500","567.5","529","586","14.5","11","18"
"103","4","60","true","1","null","egoiste","4","3","4","true","50","3","1500","470.75","446","497","14.25","10","18"
"104","4","60","true","1","null","egoiste","4","3","4","true","50","4","1500","504.75","487","538","15","12","18"
"105","4","60","true","1","null","egoiste","4","3","4","true","50","5","1500","519.25","498","542","14.25","10","19"
"106","4","60","true","1","null","egoiste","4","3","4","true","50","6","1500","435.75","422","443","14.5","11","19"
"107","4","60","true","1","null","egoiste","4","3","4","true","50","7","1500","525.25","507","545","14.5","12","17"
"108","4","60","true","1","null","egoiste","4","3","4","true","50","8","1500","564.75","554","576","14","11","17"
"110","4","60","true","1","null","egoiste","4","3","4","true","50","10","1500","496.75","485","504","13.75","10","19"
"109","4","60","true","1","null","egoiste","4","3","4","true","50","9","1500","610.5","585","645","15","11","18"
