"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"pick_av"
"12/12/2018 13:42:52:084 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","seed-wall","seed-set","[step]","mean [pick-time] of robots","min [pick-time] of robots","max [pick-time] of robots","mean [participation] of robots","min [participation] of robots","max [participation] of robots"
"59","4","40","true","1","null","coop-av-coord","4","3","4","true","50","9","2000","382","382","382","10","8","13"
"61","4","44","true","1","null","coop-av-coord","4","3","4","true","50","1","2000","304","304","304","10.5","8","12"
"63","4","44","true","1","null","coop-av-coord","4","3","4","true","50","3","2000","274","274","274","10.75","8","16"
"62","4","44","true","1","null","coop-av-coord","4","3","4","true","50","2","2000","502","502","502","10.75","8","14"
"64","4","44","true","1","null","coop-av-coord","4","3","4","true","50","4","2000","262","262","262","11","8","15"
"65","4","44","true","1","null","coop-av-coord","4","3","4","true","50","5","2000","373","373","373","11","9","13"
"66","4","44","true","1","null","coop-av-coord","4","3","4","true","50","6","2000","331","331","331","10.5","8","14"
"67","4","44","true","1","null","coop-av-coord","4","3","4","true","50","7","2000","275","275","275","10.25","8","13"
"68","4","44","true","1","null","coop-av-coord","4","3","4","true","50","8","2000","278","278","278","10.5","9","12"
"70","4","44","true","1","null","coop-av-coord","4","3","4","true","50","10","2000","306","306","306","11","10","12"
"69","4","44","true","1","null","coop-av-coord","4","3","4","true","50","9","2000","447","447","447","11","9","14"
"72","4","48","true","1","null","coop-av-coord","4","3","4","true","50","2","2000","311","311","311","11.75","9","14"
"71","4","48","true","1","null","coop-av-coord","4","3","4","true","50","1","2000","397","397","397","11.75","11","13"
"73","4","48","true","1","null","coop-av-coord","4","3","4","true","50","3","2000","332","332","332","11.25","9","16"
"74","4","48","true","1","null","coop-av-coord","4","3","4","true","50","4","2000","293","293","293","12","10","13"
"75","4","48","true","1","null","coop-av-coord","4","3","4","true","50","5","2000","318","318","318","11.5","10","14"
"76","4","48","true","1","null","coop-av-coord","4","3","4","true","50","6","2000","323","323","323","11.75","10","14"
"78","4","48","true","1","null","coop-av-coord","4","3","4","true","50","8","2000","322","322","322","11.5","10","14"
"79","4","48","true","1","null","coop-av-coord","4","3","4","true","50","9","2000","309","309","309","12","10","16"
"77","4","48","true","1","null","coop-av-coord","4","3","4","true","50","7","2000","428","428","428","11.5","9","14"
"80","4","48","true","1","null","coop-av-coord","4","3","4","true","50","10","2000","333","333","333","11.5","9","13"
"83","4","52","true","1","null","coop-av-coord","4","3","4","true","50","3","2000","339","339","339","12.75","10","16"
"81","4","52","true","1","null","coop-av-coord","4","3","4","true","50","1","2000","446","446","446","12.75","10","16"
"82","4","52","true","1","null","coop-av-coord","4","3","4","true","50","2","2000","420","420","420","12.5","11","14"
"84","4","52","true","1","null","coop-av-coord","4","3","4","true","50","4","2000","290","290","290","12.75","10","16"
"85","4","52","true","1","null","coop-av-coord","4","3","4","true","50","5","2000","338","338","338","12.75","11","15"
"86","4","52","true","1","null","coop-av-coord","4","3","4","true","50","6","2000","348","348","348","12.5","10","14"
"87","4","52","true","1","null","coop-av-coord","4","3","4","true","50","7","2000","349","349","349","12.5","11","14"
"88","4","52","true","1","null","coop-av-coord","4","3","4","true","50","8","2000","536","536","536","12.25","10","14"
"89","4","52","true","1","null","coop-av-coord","4","3","4","true","50","9","2000","396","396","396","13","10","14"
"90","4","52","true","1","null","coop-av-coord","4","3","4","true","50","10","2000","405","405","405","12.5","11","14"
"91","4","56","true","1","null","coop-av-coord","4","3","4","true","50","1","2000","457","457","457","13.5","11","17"
"92","4","56","true","1","null","coop-av-coord","4","3","4","true","50","2","2000","390","390","390","13.5","12","16"
"93","4","56","true","1","null","coop-av-coord","4","3","4","true","50","3","2000","399","399","399","13.5","13","15"
"94","4","56","true","1","null","coop-av-coord","4","3","4","true","50","4","2000","373","373","373","14","13","16"
"95","4","56","true","1","null","coop-av-coord","4","3","4","true","50","5","2000","310","310","310","13.5","10","17"
"96","4","56","true","1","null","coop-av-coord","4","3","4","true","50","6","2000","327","327","327","12.75","10","16"
"97","4","56","true","1","null","coop-av-coord","4","3","4","true","50","7","2000","458","458","458","13.25","13","14"
"99","4","56","true","1","null","coop-av-coord","4","3","4","true","50","9","2000","388","388","388","14","11","19"
"98","4","56","true","1","null","coop-av-coord","4","3","4","true","50","8","2000","423","423","423","13.5","12","16"
"100","4","56","true","1","null","coop-av-coord","4","3","4","true","50","10","2000","507","507","507","12.75","9","14"
"101","4","60","true","1","null","coop-av-coord","4","3","4","true","50","1","2000","367","367","367","14","13","16"
"102","4","60","true","1","null","coop-av-coord","4","3","4","true","50","2","2000","454","454","454","14.5","13","18"
"103","4","60","true","1","null","coop-av-coord","4","3","4","true","50","3","2000","390","390","390","14.5","12","17"
"104","4","60","true","1","null","coop-av-coord","4","3","4","true","50","4","2000","392","392","392","15","14","16"
"105","4","60","true","1","null","coop-av-coord","4","3","4","true","50","5","2000","436","436","436","14.5","13","17"
"106","4","60","true","1","null","coop-av-coord","4","3","4","true","50","6","2000","330","330","330","14.5","13","16"
"107","4","60","true","1","null","coop-av-coord","4","3","4","true","50","7","2000","433","433","433","14.5","11","17"
"110","4","60","true","1","null","coop-av-coord","4","3","4","true","50","10","2000","333","333","333","13.75","13","15"
"108","4","60","true","1","null","coop-av-coord","4","3","4","true","50","8","2000","475","475","475","14","12","16"
"109","4","60","true","1","null","coop-av-coord","4","3","4","true","50","9","2000","505","505","505","15","13","16"
