"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"pick_ss"
"12/12/2018 18:16:24:777 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","seed-wall","seed-set","[step]","mean [pick-time] of robots","min [pick-time] of robots","max [pick-time] of robots","mean [participation] of robots","min [participation] of robots","max [participation] of robots"
"56","2","40","true","1","null","coop-ss-coord","4","2","4","true","50","6","2000","435","435","435","9.25","8","11"
"59","2","40","true","1","null","coop-ss-coord","4","2","4","true","50","9","2000","308","308","308","9.5","8","12"
"58","2","40","true","1","null","coop-ss-coord","4","2","4","true","50","8","2000","340","340","340","9.75","8","12"
"61","2","44","true","1","null","coop-ss-coord","4","2","4","true","50","1","2000","397","397","397","10.5","9","12"
"60","2","40","true","1","null","coop-ss-coord","4","2","4","true","50","10","2000","368","368","368","9.5","8","11"
"63","2","44","true","1","null","coop-ss-coord","4","2","4","true","50","3","2000","351","351","351","10.25","9","13"
"62","2","44","true","1","null","coop-ss-coord","4","2","4","true","50","2","2000","485","485","485","10.5","10","11"
"65","2","44","true","1","null","coop-ss-coord","4","2","4","true","50","5","2000","387","387","387","10.5","9","12"
"64","2","44","true","1","null","coop-ss-coord","4","2","4","true","50","4","2000","458","458","458","10.25","10","11"
"67","2","44","true","1","null","coop-ss-coord","4","2","4","true","50","7","2000","407","407","407","10.5","9","13"
"66","2","44","true","1","null","coop-ss-coord","4","2","4","true","50","6","2000","432","432","432","10.5","9","12"
"69","2","44","true","1","null","coop-ss-coord","4","2","4","true","50","9","2000","362","362","362","10.25","8","13"
"68","2","44","true","1","null","coop-ss-coord","4","2","4","true","50","8","2000","454","454","454","10.5","9","13"
"71","2","48","true","1","null","coop-ss-coord","4","2","4","true","50","1","2000","387","387","387","11.25","10","13"
"70","2","44","true","1","null","coop-ss-coord","4","2","4","true","50","10","2000","600","600","600","10.5","9","12"
"73","2","48","true","1","null","coop-ss-coord","4","2","4","true","50","3","2000","378","378","378","11.5","9","14"
"74","2","48","true","1","null","coop-ss-coord","4","2","4","true","50","4","2000","375","375","375","11.5","10","12"
"72","2","48","true","1","null","coop-ss-coord","4","2","4","true","50","2","2000","538","538","538","11.75","10","13"
"75","2","48","true","1","null","coop-ss-coord","4","2","4","true","50","5","2000","597","597","597","11.5","11","12"
"76","2","48","true","1","null","coop-ss-coord","4","2","4","true","50","6","2000","404","404","404","11.5","10","15"
"77","2","48","true","1","null","coop-ss-coord","4","2","4","true","50","7","2000","618","618","618","11.5","10","13"
"78","2","48","true","1","null","coop-ss-coord","4","2","4","true","50","8","2000","478","478","478","11.25","10","12"
"79","2","48","true","1","null","coop-ss-coord","4","2","4","true","50","9","2000","473","473","473","11.5","11","13"
"80","2","48","true","1","null","coop-ss-coord","4","2","4","true","50","10","2000","414","414","414","11.25","10","13"
"81","2","52","true","1","null","coop-ss-coord","4","2","4","true","50","1","2000","393","393","393","12.25","11","14"
"82","2","52","true","1","null","coop-ss-coord","4","2","4","true","50","2","2000","414","414","414","12.25","10","14"
"83","2","52","true","1","null","coop-ss-coord","4","2","4","true","50","3","2000","448","448","448","12.25","10","15"
"84","2","52","true","1","null","coop-ss-coord","4","2","4","true","50","4","2000","414","414","414","12.25","11","14"
